,Media Sources,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,@BBCNews,Sun Jul 15 02:13:35 +0000 2018,Cuba to recognise private property under new constitution https://t.co/1ZJw2dPa6y,0.0,0.0,1.0,0.0,0
1,@BBCNews,Sun Jul 15 01:03:24 +0000 2018,Heatwave causes spike in insect bite calls to NHS https://t.co/OvulqhHuIL,0.0,0.0,1.0,0.0,1
2,@BBCNews,Sun Jul 15 00:42:30 +0000 2018,'Why I keep my vasectomy a secret' https://t.co/mEeTWg9TVk,0.0,0.0,1.0,0.0,2
3,@BBCNews,Sun Jul 15 00:39:59 +0000 2018,Haiti Prime Minister Jack Guy Lafontant resigns https://t.co/RViI5ZJw0T,-0.3182,0.0,0.753,0.247,3
4,@BBCNews,Sun Jul 15 00:33:00 +0000 2018,Trump to leave UK after two-night stay https://t.co/waIcugVFDy,-0.0516,0.0,0.854,0.146,4
5,@BBCNews,Sun Jul 15 00:27:34 +0000 2018,Govia Thameslink Railway introduces third timetable in two months https://t.co/tbn398cRpu,0.0,0.0,1.0,0.0,5
6,@BBCNews,Sat Jul 14 22:30:34 +0000 2018,Newspaper headlines: PM warns 'there may be no Brexit' https://t.co/lQ0MfNZJ77,-0.3818,0.0,0.69,0.31,6
7,@BBCNews,Sat Jul 14 21:33:57 +0000 2018,PM Theresa May warns party not to put Brexit at risk https://t.co/UBOINvUImO,0.0516,0.178,0.592,0.23,7
8,@BBCNews,Sat Jul 14 21:17:01 +0000 2018,World Cup final 2018: France v Croatia - your guide to Sunday's match https://t.co/AXppFru9G9,0.0,0.0,1.0,0.0,8
9,@BBCNews,Sat Jul 14 19:53:03 +0000 2018,Eden Hazard: Chelsea forward says it 'might be time for something different' https://t.co/rXJy7qqUcW,0.0,0.0,1.0,0.0,9
10,@BBCNews,Sat Jul 14 19:38:15 +0000 2018,Minister Andrew Griffiths resigns over texts to women https://t.co/lGGK9j5qXi,-0.3182,0.0,0.777,0.223,10
11,@BBCNews,Sat Jul 14 19:30:59 +0000 2018,Wave of Israeli Gaza strikes amid surge in rocket attacks https://t.co/4W5ZEaRWto,-0.6597,0.0,0.625,0.375,11
12,@BBCNews,Sat Jul 14 18:24:03 +0000 2018,Large grass fire tackled near Heathrow https://t.co/h1XFyc1Gdf,-0.34,0.0,0.714,0.286,12
13,@BBCNews,Sat Jul 14 18:21:32 +0000 2018,England v India: Joe Root's ton helps hosts level ODI series https://t.co/VhoxO0OMbK,0.3818,0.206,0.794,0.0,13
14,@BBCNews,Sat Jul 14 17:16:59 +0000 2018,"RT @BBCWorld: Mon dieu! 🤦‍♀️

#BastilleDay went off with a bang - for these police motorcyclists

https://t.co/jh88YrDQA4 #14juillet https:…",0.0,0.0,1.0,0.0,14
15,@BBCNews,Sat Jul 14 17:06:23 +0000 2018,Autistic boy's mum praises 'lovely' school prom classmates https://t.co/KkrBN5beHd,0.5267,0.298,0.702,0.0,15
16,@BBCNews,Sat Jul 14 16:48:37 +0000 2018,Is Russia the real winner of World Cup 2018? https://t.co/Gzn3gkKL1r,0.5859,0.297,0.703,0.0,16
17,@BBCNews,Sat Jul 14 16:33:56 +0000 2018,Wimbledon 2018: Angeligue Kerber beats Serena Williams to win title https://t.co/AiqRmK0qjJ,0.5859,0.275,0.725,0.0,17
18,@BBCNews,Sat Jul 14 16:22:54 +0000 2018,"RT @5liveSport: History for Angelique Kerber! 👏

The German beats Serena Williams 6-3, 6-3 to win her first ever #Wimbledon singles title!…",0.658,0.18,0.82,0.0,18
19,@BBCNews,Sat Jul 14 16:22:11 +0000 2018,Reality Check: is London's murder rate still higher than New York's? https://t.co/EDqS4bkt1m,-0.6908,0.0,0.701,0.299,19
20,@BBCNews,Sat Jul 14 16:17:28 +0000 2018,British teenager dies in Magaluf balcony fall https://t.co/YeZ1wD1jWr,0.0,0.0,1.0,0.0,20
21,@BBCNews,Sat Jul 14 16:04:21 +0000 2018,Dog poo in Clevedon's Marine Lake causes ear infections https://t.co/UlMulVTx3y,0.0,0.0,1.0,0.0,21
22,@BBCNews,Sat Jul 14 15:59:53 +0000 2018,World Cup 2018: England finish fourth after Belgium defeat https://t.co/cjulTH4qCh,-0.4588,0.0,0.75,0.25,22
23,@BBCNews,Sat Jul 14 15:52:09 +0000 2018,"RT @BBCSport: FT Belgium 2-0 England

England leave Russia with their heads held high and their joint-best #worldcup finish since '66.

Bel…",-0.0516,0.0,0.946,0.054,23
24,@BBCNews,Sat Jul 14 15:41:55 +0000 2018,"RT @BBCSport: GOAL

That might just settle it.

Eden Hazard races past Phil Jones and makes it Belgium 2-0 England

Live 👉 https://t.co/zMI…",0.0,0.0,1.0,0.0,24
25,@BBCNews,Sat Jul 14 15:19:24 +0000 2018,"RT @bbctennis: A royal standing ovation.

But who will be crowned the queen of Wimbledon 2018?

#bbctennis #wimbledon https://t.co/Z5an2Giy…",0.0,0.0,1.0,0.0,25
26,@BBCNews,Sat Jul 14 15:06:50 +0000 2018,"RT @5liveSport: Two changes for #ENG as we get back under way in Saint Petersburg 

Lingard 🔄 Rose

Rashford 🔄  Sterling

They trail #BEL b…",0.0,0.0,1.0,0.0,26
27,@BBCNews,Sat Jul 14 15:02:51 +0000 2018,100 Women: 'I was a World Cup honey shot' https://t.co/xPKeWpZkVp,0.0,0.0,1.0,0.0,27
28,@BBCNews,Sat Jul 14 14:55:37 +0000 2018,"I subscribe, therefore I am? https://t.co/ydo4UoqmMi",0.0,0.0,1.0,0.0,28
29,@BBCNews,Sat Jul 14 14:47:49 +0000 2018,"RT @BBCSport: HT Belgium 1-0 England

Roberto Martinez's #BEL lead through Thomas Meunier - and you have to say they deserve it.
👉 https://…",0.0,0.0,1.0,0.0,29
30,@BBCNews,Sat Jul 14 14:32:40 +0000 2018,"RT @5liveSport: It's all over!

After over 5hrs 16mins (and an overnight break) on court, Novak Djokovic will face Kevin Anderson in Sunday…",0.0,0.0,1.0,0.0,30
31,@BBCNews,Sat Jul 14 14:30:49 +0000 2018,X Factor winner Louisa Johnson splits from Simon Cowell’s label https://t.co/T8GeHm0TSG,0.5859,0.297,0.703,0.0,31
32,@BBCNews,Sat Jul 14 14:18:28 +0000 2018,Wimbledon 2018: Gordon Reid &amp; Alfie Hewett win wheelchair doubles title https://t.co/DAX3I3tXX4,0.5859,0.257,0.743,0.0,32
33,@BBCNews,Sat Jul 14 14:16:34 +0000 2018,"An impressive delivery... thank goodness he didn't get dismissed
 💍🏏 https://t.co/RyX96Qm1ws",0.8316,0.524,0.476,0.0,33
34,@BBCNews,Sat Jul 14 14:15:59 +0000 2018,World Cup Final blamed Sunday rail disruption https://t.co/AxH3MqsXNn,-0.6808,0.0,0.517,0.483,34
35,@BBCNews,Sat Jul 14 14:05:17 +0000 2018,"RT @BBCSport: GOAL!

Three-and-a-half minutes on the clock.

Nacer Chadli crosses to Thomas Meunier, who makes no mistake.

Belgium 1-0 Eng…",-0.5983,0.0,0.795,0.205,35
36,@BBCNews,Sat Jul 14 14:00:26 +0000 2018,"RT @BBCSport: Here we go!

A chance for England to take home the bronze medal and secure their best #worldcup finish since 1966.

Under way…",0.8999,0.375,0.625,0.0,36
37,@BBCNews,Sat Jul 14 13:49:14 +0000 2018,Saudi Arabia woman 'arrested for hugging' singer Majid al-Mohandis https://t.co/UR1gaYgXRx,-0.0772,0.201,0.576,0.223,37
38,@BBCNews,Sat Jul 14 13:46:51 +0000 2018,France restricts access to Mont Blanc amid safety fears https://t.co/nCHi4iIfOn,-0.3182,0.188,0.47,0.342,38
39,@BBCNews,Sat Jul 14 13:16:03 +0000 2018,RT @Frankie_Mack: #BREAKING President Donald Trump waving a protestors who are calling him racist as he plays golf at #Turnberry @realDonal…,-0.4588,0.083,0.75,0.167,39
40,@BBCNews,Sat Jul 14 13:12:45 +0000 2018,"Trump tees off at Turnberry as thousands protest

https://t.co/CY1qQ6OjVO #TrumpVisitUK https://t.co/cJdCUAUMkk",-0.25,0.0,0.833,0.167,40
41,@BBCNews,Sat Jul 14 13:09:11 +0000 2018,"RT @Tara_Mckelvey: I’m traveling with Trump, and I saw only a few protestors in London. That night in Glasgow, a colleague showed me a stun…",0.0,0.0,1.0,0.0,41
42,@BBCNews,Sat Jul 14 12:56:15 +0000 2018,RT @BBCSport: Britain's Gordon Reid and Alfie Hewett won a third successive #Wimbledon wheelchair doubles title by beating Germany's Joachi…,0.4215,0.234,0.645,0.121,42
43,@BBCNews,Sat Jul 14 12:29:39 +0000 2018,RT @BBCRosAtkins: A close encounter. President Trump just passed me on the first hole here at Turnberry. https://t.co/UwAKYVsWa3,0.0,0.0,1.0,0.0,43
44,@BBCNews,Sat Jul 14 11:56:54 +0000 2018,"RT @bbctennis: Meghan Markle has arrived!

The crowd shouted her name as she made her way to Centre Court. She waved 👋

💻📱 https://t.co/Xg5…",0.0,0.0,1.0,0.0,44
45,@BBCNews,Sat Jul 14 11:56:32 +0000 2018,"RT @BBCSport: They've done it! 🙌

Alfie Hewett and Gordon Reid have won the #Wimbledon wheelchair doubles title for the third time! 👏

LIVE…",0.6467,0.169,0.831,0.0,45
46,@BBCNews,Sat Jul 14 11:56:23 +0000 2018,"RT @BBCScotlandNews: Liam Fox says that protesters against Donald Trump's visit to Britain were ""an embarrassment to themselves""  https://t…",-0.5859,0.0,0.78,0.22,46
47,@BBCNews,Sat Jul 14 11:33:38 +0000 2018,"There she goes! 🌊🚢

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is lau… https://t.co/DMpp054UlM",0.0,0.0,1.0,0.0,47
48,@BBCNews,Sat Jul 14 11:29:51 +0000 2018,Dozens hurt as Ryanair flight loses cabin pressure https://t.co/4nlRXAvWBq,-0.7845,0.0,0.432,0.568,48
49,@BBCNews,Sat Jul 14 11:10:42 +0000 2018,Jorginho: Napoli midfielder joins Chelsea on five-year deal https://t.co/oxmrrOlbdT,0.0,0.0,1.0,0.0,49
50,@BBCNews,Sat Jul 14 11:01:13 +0000 2018,Nazanin Zaghari-Ratcliffe: Boris Johnson exit 'a setback' https://t.co/bXNsHTd4Zc,0.0,0.0,1.0,0.0,50
51,@BBCNews,Sat Jul 14 10:58:32 +0000 2018,In pictures: France marks Bastille Day with spectacular parade https://t.co/GMxgaRjNNS,0.0,0.0,1.0,0.0,51
52,@BBCNews,Sat Jul 14 10:53:32 +0000 2018,Gerry Adams calls on home attackers to meet him https://t.co/UVzLBDhfQy,-0.5719,0.0,0.709,0.291,52
